page,type,incoming,avg
Bad Wildungen,2,1806,77.6442307692307692
Köthen (Anhalt),2,1806,60.6666666666666667
Simmern/Hunsrück,5,1801,949.8659793814432990
Cochem,5,1799,53.1523809523809524
Königstein im Taunus,2,1793,101.7528957528957529
Monschau,6,1787,46.6666666666666667
Ebersberg,2,1785,56.2209302325581395
Regen (Stadt),2,1781,144.7818181818181818
Castrop-Rauxel,6,1779,67.7925764192139738
Bünde,6,1775,72.2163461538461538
Templin,2,1761,96.7586206896551724
Frankenberg (Eder),2,1758,61.2535211267605634
Bogen (Stadt),2,1757,77.3596059113300493
Kempen,6,1754,87.1111111111111111
Schongau,2,1747,62.8545454545454545
Schleiz,2,1740,69.3636363636363636
Rüsselsheim am Main,3,1735,287.4588744588744589
Herrenberg,2,1734,55.1250000000000000
Saarburg,2,1724,58.5945945945945946
Warstein,6,1720,55.2375000000000000
Springe,2,1699,58.7166666666666667
Verden (Aller),2,1699,80.8461538461538462
Lage (Lippe),6,1693,128.4293333333333333
Erftstadt,6,1687,93.8626760563380282
Korschenbroich,6,1682,45.7972270363951473
Attendorn,6,1677,60.2426035502958580
Kusel,5,1675,75.8288288288288288
Oschatz,2,1674,62.5882352941176471
Waldshut-Tiengen,2,1669,99.1386861313868613
Meerbusch,6,1667,202.4532019704433498
Mühldorf am Inn,2,1664,95.8870967741935484
Herten,6,1663,157.9743589743589744
Remagen,5,1663,90.1416184971098266
Bad Salzungen,2,1659,69.4655172413793103
Dülmen,6,1650,40.2916666666666667
Wittmund,2,1641,77.8518518518518519
Engelskirchen,6,1640,40.1285046728971963
Bühl (Baden),2,1638,88.5750000000000000
Buxtehude,2,1635,88.2592592592592593
Wittlich,2,1629,64.4705882352941176
Dippoldiswalde,2,1620,71.1788617886178862
Kamen,6,1619,87.6548672566371681
Duderstadt,2,1616,46.0000000000000000
Papenburg,2,1616,49.4776119402985075
Ahrensburg,4,1613,75.8400000000000000
Pfullendorf,2,1607,66.8037383177570093
Bremervörde,2,1606,42.5000000000000000
Königs Wusterhausen,2,1605,65.8804347826086957
Selb,2,1605,38.3846153846153846
Dillingen/Saar,2,1595,212.4131736526946108
Daun,2,1589,53.3711340206185567
Grünstadt,2,1589,70.4419642857142857
Petershagen,6,1587,49.3076923076923077
Rotenburg (Wümme),2,1586,44.7894736842105263
Haldensleben,2,1585,61.0000000000000000
Forst (Lausitz),2,1584,108.3333333333333333
Wurzen,2,1581,63.1315789473684211
Ettlingen,2,1578,295.1237458193979933
Hennef (Sieg),6,1578,64.2531017369727047
Frechen,6,1576,102.8909465020576132
Schwelm,6,1573,83.9977401129943503
Dormagen,6,1569,136.6337448559670782
Groß-Gerau,2,1566,190.0421052631578947
Schönebeck (Elbe),3,1563,30.2709359605911330
Bad Langensalza,2,1555,35.7066666666666667
Ingelheim am Rhein,2,1553,83.2476190476190476
Homberg (Efze),2,1547,86.8507462686567164
Rietberg,6,1546,64.7589285714285714
Troisdorf,6,1541,279.0254629629629630
Horn-Bad Meinberg,6,1539,124.8819444444444444
Miesbach,2,1536,95.0246913580246914
Birkenfeld (Nahe),5,1534,51.1948051948051948
Porta Westfalica (Stadt),6,1531,133.4017341040462428
Pasewalk,2,1528,31.6025641025641026
Lutherstadt Eisleben,2,1523,70.6136363636363636
Bad Segeberg,2,1522,31.4347826086956522
Hachenburg,5,1521,48.9572649572649573
Rheinberg,6,1519,85.6381578947368421
Lennestadt,6,1518,78.1194029850746269
Münchberg,2,1515,54.4705882352941176
Vlotho,6,1507,65.9411764705882353
Burgdorf (Region Hannover),2,1506,74.2542372881355932
Bretten,2,1505,72.3645833333333333
Waiblingen,2,1504,153.6073619631901840
Wadern,2,1503,45.5131578947368421
Diez,2,1499,93.9704433497536946
Lehrte,2,1498,57.0200000000000000
Tirschenreuth,2,1495,70.2394366197183099
Bad Doberan,2,1488,56.3134328358208955
Eberbach,2,1487,48.6363636363636364
Horb am Neckar,2,1486,48.5394736842105263
Usingen,2,1478,47.4545454545454545
Eisenberg (Thüringen),2,1477,37.3587786259541985
Goch,6,1467,48.5882352941176471
Bad Harzburg,2,1458,96.4390243902439024
Glauchau,2,1456,90.5882352941176471
Pegnitz (Stadt),2,1452,42.7272727272727273
Lauterbach (Hessen),2,1447,77.2878787878787879
Bad Pyrmont,2,1444,47.8309859154929577
Langenhagen,3,1443,187.0755395683453237
Weilheim in Oberbayern,2,1442,76.8684210526315789
Laubach,2,1441,793.3207547169811321
Haan,6,1440,82.7496087636932707
Uslar,2,1440,75.0724637681159420
Künzelsau,2,1436,68.5684210526315789
Alsdorf,6,1433,96.7734375000000000
Neustadt am Rübenberge,2,1433,62.2318840579710145
Schramberg,2,1428,51.4324324324324324
Hammelburg,2,1422,39.5483870967741935
Plettenberg,6,1418,56.1986301369863014
Mittweida,2,1416,92.6304347826086957
Rüdesheim am Rhein,2,1415,100.0000000000000000
Kirchheim unter Teck,2,1409,87.3384615384615385
Bad Windsheim,2,1408,49.0327868852459016
Ellwangen (Jagst),2,1396,68.8923076923076923
Grünberg (Hessen),2,1394,710.7851239669421488
Kerpen,6,1394,62.8797250859106529
Münsingen (Württemberg),2,1390,36.3076923076923077
Blieskastel,2,1385,76.8895027624309392
Bernkastel-Kues,5,1383,79.2589285714285714
Leutkirch im Allgäu,2,1383,31.6388888888888889
Schlüchtern,2,1378,43.6078431372549020
Schwetzingen,2,1378,103.7838983050847458
Schleiden,6,1377,59.7132867132867133
Tegernsee (Stadt),2,1365,86.1359223300970874
Bad Arolsen,2,1362,45.4823529411764706
Ennepetal,6,1361,45.6310272536687631
Sömmerda,2,1361,67.0129870129870130
Beckum,6,1357,58.4339622641509434
Bergkamen,6,1357,102.5211267605633803
Walsrode,2,1355,65.0476190476190476
Rheinfelden (Baden),2,1353,63.0268817204301075
Varel,2,1347,39.0000000000000000
Sprockhövel,6,1332,60.9824797843665768
Eisenhüttenstadt,2,1330,94.3571428571428571
Hennigsdorf,2,1327,116.2718446601941748
Sundern (Sauerland),6,1321,91.6695652173913043
Stadthagen,2,1320,72.8611111111111111
Kreuztal,6,1319,66.7245508982035928
Michelstadt,2,1317,71.3000000000000000
Coswig (Sachsen),2,1313,272.7074468085106383
Quakenbrück,2,1311,45.4750000000000000
Datteln,6,1309,58.2677165354330709
Ahaus,6,1307,52.6250000000000000
Blomberg,6,1304,79.5438596491228070
Bad Gandersheim,2,1301,54.3232323232323232
Alzenau,2,1291,60.9843750000000000
Grafenau (Niederbayern),2,1290,76.4629629629629630
Kevelaer,6,1285,96.1500000000000000
Völklingen,2,1283,70.2800000000000000
Bebra,2,1282,58.2987012987012987
Borken (Hessen),2,1277,94.4131736526946108
Herzogenrath,6,1274,76.5017301038062284
Oberursel (Taunus),2,1274,107.7388392857142857
Fellbach,2,1269,308.3495440729483283
Wangen im Allgäu,2,1268,50.9875000000000000
Murnau am Staffelsee,2,1267,62.7916666666666667
Sonthofen,2,1264,71.0952380952380952
Wegberg,6,1263,58.5534246575342466
Finsterwalde,2,1261,62.5161290322580645
Bad Waldsee,2,1257,40.8103448275862069
Langen (Hessen),2,1257,129.5714285714285714
Nagold (Stadt),2,1256,51.5921052631578947
Groß-Umstadt,2,1252,91.1206896551724138
Rheinbach,6,1242,87.5704697986577181
Gladenbach,2,1240,55.2049180327868852
Weil am Rhein,1,1240,184.7861507128309572
Haltern am See,6,1239,45.6714285714285714
Brake (Unterweser),2,1238,95.7750000000000000
Gronau (Westf.),6,1231,30.8518518518518519
Blaubeuren,2,1230,61.5882352941176471
Dingolfing,2,1227,71.6097560975609756
Bad Vilbel,2,1225,227.0281973816717019
Geseke,6,1222,54.2236842105263158
Meinerzhagen,6,1220,32.6401869158878505
Seligenstadt,2,1219,76.7074468085106383
Munster (Örtze),2,1218,46.1578947368421053
Albstadt,2,1215,75.9213483146067416
Markkleeberg,2,1212,332.8616144975288303
Bornheim (Rheinland),6,1209,293.3714285714285714
