page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Dillingen an der Donau,2,2534,62.8560606060606061,151,559
Traunstein,1,2533,70.7804878048780488,83,328
Geldern,6,2532,70.4098360655737705,61,661
Delitzsch,2,2528,45.5074626865671642,70,880
Erding,2,2524,49.9420289855072464,72,658
Singen (Hohentwiel),2,2516,58.8256880733944954,109,464
Hann. Münden,2,2512,176.2989690721649485,97,655
Biedenkopf,2,2510,86.4916666666666667,121,1030
Lich,2,2509,121.4545454545454545,133,681
Lichtenfels (Oberfranken),2,2502,74.7079646017699115,115,675
Biberach an der Riß,2,2476,74.0740740740740741,83,379
Heide (Holstein),2,2473,61.0370370370370370,54,429
Kitzingen,2,2468,71.1137724550898204,173,767
Meppen,2,2466,85.1911764705882353,68,683
Nienburg/Weser,2,2450,64.2535211267605634,73,445
Rinteln,2,2443,66.3618421052631579,154,809
Starnberg,2,2422,84.4504504504504505,112,554
Jever,2,2421,71.6132075471698113,106,683
Marl,6,2416,122.7189542483660131,155,584
Vechta,2,2416,66.5818181818181818,55,692
Jüterbog,2,2409,71.9333333333333333,45,479
Pinneberg,4,2397,90.4881889763779528,130,807
Günzburg,2,2396,68.2843137254901961,132,446
Menden (Sauerland),6,2393,89.0708955223880597,268,683
Germersheim,2,2392,90.4800000000000000,76,571
Mettmann,6,2388,76.3650442477876106,453,714
Borken,6,2384,107.8780487804878049,41,553
Aschersleben,2,2383,46.0000000000000000,61,398
Dorsten,6,2382,94.5000000000000000,115,620
Mosbach,2,2380,83.2166666666666667,122,766
Lingen (Ems),3,2378,44.6666666666666667,57,483
Lünen,6,2368,71.6232558139534884,216,752
Wertheim,2,2366,73.6382978723404255,94,872
Bückeburg,2,2366,157.7094339622641509,268,522
Tauberbischofsheim,2,2365,82.5441176470588235,68,692
Geilenkirchen,6,2364,54.8348623853211009,220,1452
Altena,6,2362,108.1631205673758865,282,670
Herborn,2,2362,108.8125000000000000,114,568
Lübben (Spreewald),2,2357,152.5500000000000000,41,328
Großenhain,2,2353,36.8607594936708861,79,608
Forchheim,2,2348,76.5744680851063830,95,522
Schwandorf,2,2342,45.5090909090909091,56,334
Gelnhausen,2,2340,94.4672897196261682,108,639
Bitburg,5,2336,52.0909090909090909,99,895
Donauwörth,2,2333,81.3777777777777778,92,525
Steinfurt,6,2326,56.8461538461538462,66,392
Diepholz,2,2312,34.5208333333333333,48,502
Freudenstadt,2,2306,100.0000000000000000,43,368
Radeberg,2,2302,96.4098360655737705,184,998
Balingen,2,2299,79.2842105263157895,95,700
Nidda,2,2299,70.0796460176991150,117,723
Ibbenbüren,6,2289,76.3444444444444444,91,955
Rothenburg ob der Tauber,2,2264,28.9811320754716981,159,540
Wipperfürth,6,2243,32.3333333333333333,727,1620
Bad Nauheim,3,2234,114.3928571428571429,169,553
Altenkirchen (Westerwald),2,2233,58.2857142857142857,140,1015
Burghausen,2,2228,115.1063829787234043,48,383
Merzig,2,2219,69.8191489361702128,95,578
Butzbach,2,2213,71.6560509554140127,157,936
Neuburg an der Donau,2,2212,54.5909090909090909,111,667
Braunau am Inn,2,2209,124.6779661016949153,59,219
Montabaur,5,2189,72.4056603773584906,106,870
Kamenz,2,2182,57.6388888888888889,72,507
Fürstenfeldbruck,2,2162,68.2045454545454545,90,516
Kelheim,2,2155,101.4528301886792453,53,395
Bernau bei Berlin,2,2150,74.4646464646464646,102,480
Osterode am Harz,2,2148,49.7586206896551724,117,612
Heidenheim an der Brenz,2,2147,56.3246753246753247,78,323
Sinsheim,2,2141,66.3294117647058824,170,829
Spremberg,2,2138,53.1489361702127660,47,366
Erbach (Odenwald),2,2134,147.7053571428571429,114,578
Schwabach,3,2124,49.5652173913043478,118,479
Donaueschingen,2,2119,82.7833333333333333,61,415
Nürtingen,2,2111,82.4393939393939394,135,578
Dinkelsbühl,2,2110,25.9743589743589744,197,861
Melle,2,2110,47.6071428571428571,57,683
Guben,2,2106,57.6363636363636364,22,189
Langenfeld (Rheinland),6,2100,115.4301801801801802,446,1107
Crailsheim,2,2089,39.8730158730158730,63,321
Winterberg,6,2082,27.8412017167381974,235,644
Beeskow,2,2069,136.3571428571428571,42,674
Weiden in der Oberpfalz,1,2066,58.7882352941176471,85,243
Schwerte,6,2065,204.9662447257383966,479,600
Xanten,6,2060,49.8829787234042553,94,596
Prüm,2,2060,52.1625000000000000,80,582
Döbeln,2,2059,64.0540540540540541,74,376
Dieburg,2,2056,88.1595744680851064,95,698
Gladbeck,6,2052,119.1423076923076923,262,754
Rottenburg am Neckar,2,2045,57.7973856209150327,154,660
Idar-Oberstein,5,2040,42.2268041237113402,97,409
