page_id,page,min
4021774,Öhringen,1950.50613971219
448471,Haslach im Kinzigtal,1951.0901933975
15855,Waiblingen,1954.80752769601
78667,Friesoythe,1956.09142078378
351335,Gernsbach,1958.66882689431
333588,Wolfach,1967.6396518649
272251,Rockenhausen,1972.85272757698
82483,Landau an der Isar,1976.23641343107
61785,Crailsheim,1987.53508178885
94786,Bad Blankenburg,1989.172780635
31220,Heide (Holstein),1989.21767439806
15847,Emmendingen,1991.38099021712
55872,Selb,1992.81310378076
61699,Attendorn,1992.96886703349
133954,Neckarsulm,1995.28193887163
2851447,Eschwege,2002.76322437319
73867,Rastatt,2002.80386651837
71839,Sarstedt,2007.60741422142
125531,Werdohl,2010.7297038724
3379143,Hattersheim am Main,2011.62544377256
69968,Fritzlar,2017.28435200133
195638,Mühldorf am Inn,2017.87791776894
81135,Bretten,2019.00484310658
81220,Torgau,2020.61396038118
162254,Hennigsdorf,2021.01655629709
16811,Rotenburg an der Fulda,2023.96541602195
89047,Mühlhausen/Thüringen,2033.98599362666
4154147,Roth,2034.08232652487
12019,Kulmbach,2034.6060291884
203098,Sömmerda,2035.36395905203
196021,Buchen (Odenwald),2036.73483190605
2491475,Konz,2041.01163460318
494523,Weißenfels,2044.64755021708
4603259,Bitburg,2046.14739007808
71553,Plettenberg,2046.95351808108
89075,Balingen,2055.83192477229
108738,Cheb,2057.34186909271
307600,Sontra,2068.12122392062
272235,Meisenheim,2068.84154369184
118241,Geisenheim,2069.87310768938
339831,Pfullendorf,2070.40405910364
349196,Stollberg/Erzgeb.,2079.47958480005
67201,Northeim,2089.84149286916
154401,Seligenstadt,2105.21118592259
272248,Westerburg,2106.2446098393
17835,Erkrath,2106.99371495661
35021,Lingen (Ems),2114.42796338831
5123411,Kornwestheim,2115.45770290203
139195,Griesheim,2129.09981189527
72024,Bad Berleburg,2147.15053206366
18441,Langenhagen,2148.52795259773
21241,Wolgast,2149.13251017813
1029455,Ueckermünde,2153.3330623462
102370,Vaihingen an der Enz,2157.67727002779
4269645,Bernkastel-Kues,2158.38041088141
9404,Oranienburg,2159.24979788032
326912,Groß-Umstadt,2162.77478846664
100007,Döbeln,2163.51703351551
244628,Biedenkopf,2164.87231189564
92098,Fellbach,2167.94711036965
131927,Pulheim,2168.68574867532
272240,Dahn,2170.41091858156
